,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats
0,Maruti Swift Dzire VDI,2014.0,450000.0,145500.0,Diesel,Individual,Manual,0.0,23.4,1248.0,74.0,190Nm@ 2000rpm,5.0
1,Skoda Rapid 1.5 TDI Ambition,2014.0,370000.0,120000.0,Diesel,Individual,Manual,1.0,21.14,1498.0,103.52,250Nm@ 1500-2500rpm,5.0
2,Honda City 2017-2020 EXi,2006.0,158000.0,140000.0,Petrol,Individual,Manual,2.0,17.7,1497.0,78.0,"12.7@ 2,700(kgm@ rpm)",5.0
3,Hyundai i20 Sportz Diesel,2010.0,225000.0,127000.0,Diesel,Individual,Manual,0.0,23.0,1396.0,90.0,22.4 kgm at 1750-2750rpm,5.0
4,Maruti Swift VXI BSIII,2007.0,130000.0,120000.0,Petrol,Individual,Manual,0.0,16.1,1298.0,88.2,"11.5@ 4,500(kgm@ rpm)",5.0
5,Hyundai Xcent 1.2 VTVT E Plus,2017.0,440000.0,45000.0,Petrol,Individual,Manual,0.0,20.14,1197.0,81.86,113.75nm@ 4000rpm,5.0
6,Maruti Wagon R LXI DUO BSIII,2007.0,96000.0,175000.0,LPG,Individual,Manual,0.0,17.3,1061.0,57.5,"7.8@ 4,500(kgm@ rpm)",5.0
7,Maruti 800 DX BSII,2001.0,45000.0,5000.0,Petrol,Individual,Manual,1.0,16.1,796.0,37.0,59Nm@ 2500rpm,4.0
8,Toyota Etios VXD,2011.0,350000.0,90000.0,Diesel,Individual,Manual,0.0,23.59,1364.0,67.1,170Nm@ 1800-2400rpm,5.0
9,Ford Figo Diesel Celebration Edition,2013.0,200000.0,169000.0,Diesel,Individual,Manual,0.0,20.0,1399.0,68.1,160Nm@ 2000rpm,5.0
10,Renault Duster 110PS Diesel RxL,2014.0,500000.0,68000.0,Diesel,Individual,Manual,1.0,19.01,1461.0,108.45,248Nm@ 2250rpm,5.0
11,Maruti Zen LX,2005.0,92000.0,100000.0,Petrol,Individual,Manual,1.0,17.3,993.0,60.0,78Nm@ 4500rpm,5.0
12,Maruti Swift Dzire VDi,2009.0,280000.0,140000.0,Diesel,Individual,Manual,1.0,19.3,1248.0,73.9,190Nm@ 2000rpm,5.0
13,Maruti Swift 1.3 VXi,2007.0,200000.0,80000.0,Petrol,Individual,Manual,1.0,,,,,
14,Maruti Wagon R LXI Minor,2009.0,180000.0,90000.0,Petrol,Individual,Manual,1.0,18.9,1061.0,67.0,84Nm@ 3500rpm,5.0
15,Mahindra KUV 100 mFALCON G80 K8 5str,2016.0,400000.0,40000.0,Petrol,Individual,Manual,0.0,18.15,1198.0,82.0,115Nm@ 3500-3600rpm,5.0
16,Maruti Ertiga SHVS VDI,2016.0,778000.0,70000.0,Diesel,Individual,Manual,1.0,24.52,1248.0,88.5,200Nm@ 1750rpm,7.0
17,Hyundai i20 1.4 CRDi Asta,2012.0,500000.0,53000.0,Diesel,Individual,Manual,1.0,23.0,1396.0,90.0,22.4 kgm at 1750-2750rpm,5.0
18,Maruti Alto LX,2002.0,150000.0,80000.0,Petrol,Individual,Manual,1.0,19.7,796.0,46.3,62Nm@ 3000rpm,5.0
19,Hyundai i20 2015-2017 Asta 1.4 CRDi,2016.0,680000.0,100000.0,Diesel,Individual,Manual,0.0,22.54,1396.0,88.73,219.7Nm@ 1500-2750rpm,5.0
20,Mahindra Verito 1.5 D4 BSIII,2011.0,174000.0,100000.0,Diesel,Individual,Manual,1.0,21.0,1461.0,64.1,160Nm@ 2000rpm,5.0
21,Honda WR-V i-DTEC VX,2017.0,950000.0,50000.0,Diesel,Individual,Manual,0.0,25.5,1498.0,98.6,200Nm@ 1750rpm,5.0
22,Maruti Swift Dzire ZDI,2015.0,525000.0,40000.0,Diesel,Individual,Manual,0.0,26.59,1248.0,74.0,190Nm@ 2000rpm,5.0
23,Maruti SX4 ZDI,2012.0,600000.0,72000.0,Diesel,Individual,Manual,0.0,21.5,1248.0,88.8,200Nm@ 1750rpm,5.0
